Time [s]	PC (E)  [W]	PL (E) [W]	PC (T) [W]	PL (T) [W]
3,205	0,990	0,000	1,320E+0	0,000E+0
3,405	0,990	0,000	1,320E+0	0,000E+0
3,606	0,990	0,000	1,320E+0	0,000E+0
3,806	0,990	0,000	1,320E+0	0,000E+0
4,006	0,990	0,000	1,320E+0	0,000E+0
4,206	0,990	0,000	1,320E+0	0,000E+0
4,406	0,990	0,000	1,320E+0	0,000E+0
4,606	0,990	0,000	1,320E+0	0,000E+0
4,806	0,990	0,000	1,320E+0	0,000E+0
5,006	0,990	0,000	1,320E+0	0,000E+0
5,206	0,990	0,000	1,320E+0	0,000E+0
5,407	0,990	0,000	1,320E+0	0,000E+0
5,607	0,990	0,000	1,320E+0	0,000E+0
5,808	0,990	0,000	1,320E+0	0,000E+0
6,008	0,990	0,000	1,320E+0	0,000E+0
6,208	0,990	0,000	1,320E+0	0,000E+0
6,408	0,990	0,000	1,320E+0	0,000E+0
6,608	0,990	0,000	1,320E+0	0,000E+0
6,809	0,990	0,000	1,320E+0	0,000E+0
7,009	0,990	0,000	1,320E+0	0,000E+0
7,209	0,990	0,000	1,320E+0	0,000E+0
7,409	0,990	0,000	1,320E+0	0,000E+0
7,609	0,990	0,000	1,320E+0	0,000E+0
7,810	0,990	0,000	1,320E+0	0,000E+0
8,010	0,990	0,000	1,320E+0	0,000E+0
8,210	0,990	0,000	1,320E+0	0,000E+0
8,410	0,990	0,000	1,320E+0	0,000E+0
8,610	0,990	0,000	1,320E+0	0,000E+0
8,810	0,990	0,000	1,320E+0	0,000E+0
9,010	0,990	0,000	1,320E+0	0,000E+0
9,210	0,990	0,000	1,320E+0	0,000E+0
9,410	0,990	0,000	1,320E+0	0,000E+0
9,611	0,990	0,000	1,320E+0	0,000E+0
9,811	0,990	0,000	1,320E+0	0,000E+0
10,011	0,990	0,000	1,320E+0	0,000E+0
10,210	0,990	0,000	1,320E+0	0,000E+0
10,411	0,990	0,000	1,320E+0	0,000E+0
10,611	0,990	0,000	1,320E+0	0,000E+0
10,812	0,990	0,000	1,320E+0	0,000E+0
11,013	0,990	0,000	1,320E+0	0,000E+0
11,213	1,190	0,000	1,107E+0	1,107E+0
11,413	1,190	0,000	1,107E+0	1,107E+0
11,614	1,190	0,000	1,190E+0	1,190E+0
11,815	1,190	0,000	1,190E+0	1,190E+0
12,015	1,190	0,000	1,190E+0	1,190E+0
12,216	1,190	0,000	1,190E+0	1,190E+0
12,417	1,020	0,000	1,190E+0	1,190E+0
12,617	1,020	0,000	1,020E+0	1,020E+0
12,817	1,020	0,000	1,020E+0	1,020E+0
13,017	1,020	0,000	1,020E+0	1,020E+0
13,217	1,020	0,000	1,020E+0	1,020E+0
13,417	1,280	0,000	1,020E+0	1,020E+0
13,617	1,280	0,000	1,280E+0	1,280E+0
13,818	1,280	0,000	1,280E+0	1,280E+0
14,017	1,280	0,000	1,280E+0	1,280E+0
14,218	1,280	0,000	1,280E+0	1,280E+0
14,418	0,870	0,000	1,280E+0	1,280E+0
14,618	0,870	0,000	8,700E-1	8,700E-1
14,818	0,870	0,000	8,700E-1	8,700E-1
15,019	0,870	0,000	8,700E-1	8,700E-1
15,220	0,870	0,000	8,700E-1	8,700E-1
15,420	1,310	0,000	8,700E-1	8,700E-1
15,620	1,310	0,000	8,700E-1	8,700E-1
15,821	1,310	0,000	1,310E+0	1,310E+0
16,021	1,310	0,000	1,310E+0	1,310E+0
16,221	1,310	0,000	1,310E+0	1,310E+0
16,422	1,310	0,000	1,310E+0	0,000E+0
16,622	1,310	0,000	1,310E+0	0,000E+0
16,822	1,310	0,000	1,310E+0	0,000E+0
17,022	0,970	0,000	1,094E+0	1,094E+0
17,222	0,970	0,000	9,700E-1	9,700E-1
17,422	0,970	0,000	9,700E-1	9,700E-1
17,624	0,970	0,000	9,700E-1	9,700E-1
17,823	0,970	0,000	9,700E-1	9,700E-1
18,024	0,970	0,000	9,700E-1	9,700E-1
18,224	1,260	0,000	9,700E-1	9,700E-1
18,424	1,260	0,000	9,700E-1	9,700E-1
18,624	1,260	0,000	1,260E+0	1,260E+0
18,824	1,260	0,000	1,260E+0	1,260E+0
19,024	0,930	0,000	1,260E+0	1,260E+0
19,225	0,930	0,000	1,260E+0	1,260E+0
19,425	0,930	0,000	9,300E-1	9,300E-1
19,625	0,930	0,000	9,300E-1	9,300E-1
19,826	0,930	0,000	9,300E-1	9,300E-1
20,027	0,930	0,000	9,300E-1	9,300E-1
20,227	0,930	0,000	9,300E-1	9,300E-1
20,428	1,390	0,000	9,300E-1	9,300E-1
20,628	1,390	0,000	1,390E+0	1,390E+0
20,828	1,390	0,000	1,390E+0	1,390E+0
21,029	1,060	0,000	1,390E+0	1,390E+0
21,229	1,060	0,000	1,390E+0	1,390E+0
21,429	1,060	0,000	1,060E+0	1,060E+0
21,629	1,060	0,000	1,060E+0	1,060E+0
21,830	1,060	0,000	1,060E+0	1,060E+0
22,030	1,210	0,000	1,060E+0	0,000E+0
22,229	1,210	0,000	1,060E+0	0,000E+0
22,431	1,210	0,000	1,060E+0	0,000E+0
22,632	1,210	0,000	1,178E+0	1,178E+0
22,832	1,210	0,000	1,210E+0	1,210E+0
23,033	1,210	0,000	1,210E+0	1,210E+0
23,233	1,210	0,000	1,210E+0	1,210E+0
23,433	1,210	0,000	1,210E+0	1,210E+0
23,633	1,210	0,000	1,210E+0	1,210E+0
23,833	1,120	0,000	1,210E+0	1,210E+0
24,033	1,120	0,000	1,210E+0	1,210E+0
24,234	1,120	0,000	1,120E+0	1,120E+0
24,434	1,120	0,000	1,120E+0	1,120E+0
24,634	1,120	0,000	1,120E+0	1,120E+0
24,835	1,190	0,000	1,120E+0	1,120E+0
25,035	1,190	0,000	1,120E+0	1,120E+0
25,235	1,190	0,000	1,190E+0	1,190E+0
25,436	1,190	0,000	1,190E+0	1,190E+0
25,637	1,190	0,000	1,190E+0	1,190E+0
25,838	0,930	0,000	1,190E+0	1,190E+0
26,037	0,930	0,000	1,190E+0	1,190E+0
26,237	0,930	0,000	9,300E-1	9,300E-1
26,437	0,930	0,000	9,300E-1	9,300E-1
26,637	0,930	0,000	9,300E-1	9,300E-1
26,838	1,300	0,000	9,300E-1	9,300E-1
27,038	1,300	0,000	9,300E-1	9,300E-1
27,238	1,300	0,000	1,300E+0	1,300E+0
27,438	1,300	0,000	1,300E+0	1,300E+0
27,638	1,300	0,000	1,300E+0	1,300E+0
27,838	1,300	0,000	1,300E+0	1,300E+0
28,038	1,090	0,000	1,300E+0	0,000E+0
28,238	1,090	0,000	1,300E+0	0,000E+0
28,438	1,090	0,000	1,125E+0	1,125E+0
28,638	1,090	0,000	1,125E+0	1,125E+0
28,838	1,090	0,000	1,090E+0	1,090E+0
29,038	1,090	0,000	1,090E+0	1,090E+0
29,238	1,090	0,000	1,090E+0	1,090E+0
29,438	1,090	0,000	1,090E+0	1,090E+0
29,638	1,090	0,000	1,090E+0	1,090E+0
29,838	1,230	0,000	1,090E+0	1,090E+0
30,038	1,230	0,000	1,090E+0	1,090E+0
30,238	1,230	0,000	1,230E+0	1,230E+0
30,439	1,230	0,000	1,230E+0	1,230E+0
30,640	1,050	0,000	1,230E+0	1,230E+0
30,841	1,050	0,000	1,230E+0	1,230E+0
31,040	1,050	0,000	1,050E+0	1,050E+0
31,241	1,050	0,000	1,050E+0	1,050E+0
31,441	1,050	0,000	1,050E+0	1,050E+0
31,641	1,220	0,000	1,050E+0	1,050E+0
31,841	1,220	0,000	1,050E+0	1,050E+0
32,042	1,220	0,000	1,220E+0	1,220E+0
32,242	1,220	0,000	1,220E+0	1,220E+0
32,442	1,220	0,000	1,220E+0	1,220E+0
32,643	1,220	0,000	1,220E+0	1,220E+0
32,843	1,010	0,000	1,220E+0	1,220E+0
33,043	1,010	0,000	1,220E+0	1,220E+0
33,244	1,010	0,000	1,010E+0	1,010E+0
33,444	1,010	0,000	1,010E+0	1,010E+0
33,645	1,230	0,000	1,010E+0	0,000E+0
33,846	1,230	0,000	1,010E+0	0,000E+0
34,046	1,230	0,000	1,144E+0	1,144E+0
34,246	1,230	0,000	1,144E+0	1,144E+0
34,446	1,230	0,000	1,230E+0	1,230E+0
34,646	1,230	0,000	1,230E+0	1,230E+0
34,846	1,230	0,000	1,230E+0	1,230E+0
35,046	1,230	0,000	1,230E+0	1,230E+0
35,246	1,130	0,000	1,230E+0	1,230E+0
35,446	1,130	0,000	1,230E+0	1,230E+0
35,647	1,130	0,000	1,130E+0	1,130E+0
35,847	1,130	0,000	1,130E+0	1,130E+0
36,048	1,130	0,000	1,130E+0	1,130E+0
36,248	1,590	0,000	1,130E+0	1,130E+0
36,448	1,590	0,000	1,130E+0	1,130E+0
36,648	1,590	0,000	1,590E+0	1,590E+0
36,850	1,590	0,000	1,590E+0	1,590E+0
37,049	1,590	0,000	1,590E+0	1,590E+0
37,249	5,060	2,770	1,590E+0	1,590E+0
37,450	5,060	2,770	1,590E+0	1,590E+0
37,650	5,060	2,770	5,060E+0	5,060E+0
37,850	5,060	2,770	5,060E+0	5,060E+0
38,050	5,060	2,770	5,060E+0	5,060E+0
38,250	5,060	2,770	5,060E+0	5,060E+0
38,450	54,650	62,770	5,060E+0	5,060E+0
38,650	54,650	62,770	5,060E+0	5,060E+0
38,850	54,650	62,770	5,465E+1	5,465E+1
39,050	54,650	62,770	5,465E+1	5,465E+1
39,249	54,650	62,770	5,465E+1	5,465E+1
39,451	57,450	49,440	5,465E+1	1,959E+1
39,653	57,450	49,440	5,465E+1	1,959E+1
39,853	57,450	49,440	2,407E+1	2,407E+1
40,054	57,450	49,440	2,407E+1	2,407E+1
40,254	57,450	49,440	2,407E+1	2,407E+1
40,454	57,450	49,440	5,745E+1	5,745E+1
40,654	57,450	49,440	5,745E+1	5,745E+1
40,854	24,190	20,190	5,745E+1	5,745E+1
41,054	24,190	20,190	5,745E+1	5,745E+1
41,255	24,190	20,190	5,745E+1	5,745E+1
41,455	24,190	20,190	2,419E+1	2,419E+1
41,656	24,190	20,190	2,419E+1	2,419E+1
41,857	24,190	20,190	2,419E+1	2,419E+1
42,059	24,190	20,190	2,419E+1	2,419E+1
42,258	25,030	20,860	2,419E+1	2,419E+1
42,458	25,030	20,860	2,419E+1	2,419E+1
42,659	25,030	20,860	2,503E+1	2,503E+1
42,859	25,030	20,860	2,503E+1	2,503E+1
43,059	24,940	20,790	2,503E+1	2,503E+1
43,259	24,940	20,790	2,503E+1	2,503E+1
43,460	24,940	20,790	2,494E+1	2,494E+1
43,660	24,940	20,790	2,494E+1	2,494E+1
43,860	24,940	20,790	2,494E+1	2,494E+1
44,060	24,940	20,790	2,494E+1	2,494E+1
44,261	23,720	19,740	2,494E+1	2,494E+1
44,461	23,720	19,740	2,494E+1	2,494E+1
44,661	23,720	19,740	2,372E+1	2,372E+1
44,861	23,720	19,740	2,372E+1	2,372E+1
45,061	13,640	9,880	2,372E+1	2,372E+1
45,261	13,640	9,880	2,372E+1	2,372E+1
45,461	13,640	9,880	1,364E+1	1,364E+1
45,662	13,640	9,880	1,364E+1	1,364E+1
45,862	13,640	9,880	1,364E+1	1,364E+1
46,062	13,640	9,880	1,364E+1	1,364E+1
46,262	13,640	9,880	1,364E+1	1,364E+1
46,462	14,170	10,540	1,364E+1	1,638E+1
46,662	14,170	10,540	1,364E+1	1,638E+1
46,862	14,170	10,540	2,016E+1	2,016E+1
47,063	14,170	10,540	2,016E+1	2,016E+1
47,264	14,170	10,540	1,417E+1	1,417E+1
47,465	14,170	10,540	1,417E+1	1,417E+1
47,665	14,170	10,540	1,417E+1	1,417E+1
